step,sense_time,move_time,deposit_time,diffusion_time
231,4.00543212890625e-05,1.1920928955078125e-06,1.9073486328125e-06,0.0009958744049072266
232,8.511543273925781e-05,9.5367431640625e-07,3.0994415283203125e-06,0.0018191337585449219
233,4.00543212890625e-05,1.1920928955078125e-06,2.1457672119140625e-06,0.00251007080078125
234,3.600120544433594e-05,0.0,1.1920928955078125e-06,0.0011110305786132812
235,4.482269287109375e-05,7.152557373046875e-07,2.1457672119140625e-06,0.0009200572967529297
236,4.291534423828125e-05,9.5367431640625e-07,1.6689300537109375e-06,0.0010039806365966797
237,4.00543212890625e-05,1.1920928955078125e-06,2.1457672119140625e-06,0.0009946823120117188
238,4.696846008300781e-05,7.152557373046875e-07,2.1457672119140625e-06,0.0009751319885253906
239,4.291534423828125e-05,0.0,2.1457672119140625e-06,0.0009729862213134766
240,3.790855407714844e-05,9.5367431640625e-07,2.1457672119140625e-06,0.0009479522705078125
241,3.719329833984375e-05,0.0,9.5367431640625e-07,0.0010368824005126953
242,4.1961669921875e-05,0.0,9.5367431640625e-07,0.0009379386901855469
243,3.4809112548828125e-05,0.0,2.1457672119140625e-06,0.001035928726196289
244,3.0994415283203125e-05,0.0,9.5367431640625e-07,0.001088857650756836
245,4.38690185546875e-05,7.152557373046875e-07,9.5367431640625e-07,0.001069784164428711
246,6.508827209472656e-05,9.5367431640625e-07,3.0994415283203125e-06,0.0024178028106689453
247,5.1021575927734375e-05,1.1920928955078125e-06,2.86102294921875e-06,0.002357959747314453
248,4.410743713378906e-05,9.5367431640625e-07,1.9073486328125e-06,0.0018830299377441406
249,5.7220458984375e-05,9.5367431640625e-07,3.0994415283203125e-06,0.0019948482513427734
250,4.38690185546875e-05,9.5367431640625e-07,1.9073486328125e-06,0.001965045928955078
251,5.91278076171875e-05,9.5367431640625e-07,2.86102294921875e-06,0.0019299983978271484
252,5.507469177246094e-05,7.152557373046875e-07,2.1457672119140625e-06,0.0018460750579833984
253,4.7206878662109375e-05,9.5367431640625e-07,2.1457672119140625e-06,0.0018210411071777344
254,4.696846008300781e-05,0.0,2.1457672119140625e-06,0.002073049545288086
255,4.506111145019531e-05,0.0,9.5367431640625e-07,0.0016200542449951172
256,4.506111145019531e-05,9.5367431640625e-07,9.5367431640625e-07,0.001600027084350586
257,4.291534423828125e-05,0.0,1.9073486328125e-06,0.0014529228210449219
258,4.029273986816406e-05,9.5367431640625e-07,7.152557373046875e-07,0.0016930103302001953
259,4.38690185546875e-05,9.5367431640625e-07,9.5367431640625e-07,0.001856088638305664
260,4.100799560546875e-05,9.5367431640625e-07,9.5367431640625e-07,0.0017437934875488281
261,4.410743713378906e-05,0.0,1.1920928955078125e-06,0.001645803451538086
262,4.410743713378906e-05,0.0,3.0994415283203125e-06,0.0016911029815673828
263,4.100799560546875e-05,9.5367431640625e-07,1.9073486328125e-06,0.0014908313751220703
264,4.315376281738281e-05,9.5367431640625e-07,1.1920928955078125e-06,0.0017218589782714844
265,3.814697265625e-05,0.0,1.9073486328125e-06,0.0014941692352294922
266,3.600120544433594e-05,9.5367431640625e-07,9.5367431640625e-07,0.0015943050384521484
267,4.100799560546875e-05,1.1920928955078125e-06,9.5367431640625e-07,0.001627206802368164
268,3.695487976074219e-05,0.0,9.5367431640625e-07,0.00168609619140625
269,3.600120544433594e-05,7.152557373046875e-07,9.5367431640625e-07,0.0014998912811279297
270,3.814697265625e-05,0.0,2.1457672119140625e-06,0.0014491081237792969
271,4.00543212890625e-05,0.0,9.5367431640625e-07,0.0015001296997070312
272,3.719329833984375e-05,9.5367431640625e-07,2.1457672119140625e-06,0.0014002323150634766
273,3.695487976074219e-05,9.5367431640625e-07,2.1457672119140625e-06,0.0015332698822021484
274,3.695487976074219e-05,0.0,1.1920928955078125e-06,0.0015571117401123047
275,4.1961669921875e-05,7.152557373046875e-07,9.5367431640625e-07,0.0015208721160888672
276,3.910064697265625e-05,9.5367431640625e-07,1.9073486328125e-06,0.0017690658569335938
277,3.981590270996094e-05,1.1920928955078125e-06,2.1457672119140625e-06,0.00168609619140625
278,4.100799560546875e-05,9.5367431640625e-07,9.5367431640625e-07,0.0016210079193115234
279,3.695487976074219e-05,9.5367431640625e-07,1.1920928955078125e-06,0.001538991928100586
280,4.696846008300781e-05,9.5367431640625e-07,1.6689300537109375e-06,0.0016438961029052734
281,4.506111145019531e-05,0.0,1.9073486328125e-06,0.0014362335205078125
282,4.410743713378906e-05,9.5367431640625e-07,9.5367431640625e-07,0.0014548301696777344
283,4.00543212890625e-05,1.1920928955078125e-06,2.1457672119140625e-06,0.0016129016876220703
284,4.315376281738281e-05,0.0,2.1457672119140625e-06,0.0017049312591552734
285,3.504753112792969e-05,0.0,2.1457672119140625e-06,0.0017201900482177734
286,4.100799560546875e-05,9.5367431640625e-07,1.9073486328125e-06,0.0014710426330566406
287,4.696846008300781e-05,9.5367431640625e-07,1.6689300537109375e-06,0.0015668869018554688
288,4.291534423828125e-05,0.0,9.5367431640625e-07,0.0015828609466552734
289,3.719329833984375e-05,0.0,1.9073486328125e-06,0.001905202865600586
290,4.38690185546875e-05,0.0,1.1920928955078125e-06,0.001486063003540039
291,3.6716461181640625e-05,9.5367431640625e-07,1.9073486328125e-06,0.0015659332275390625
292,4.6253204345703125e-05,0.0,1.9073486328125e-06,0.0013861656188964844
293,3.719329833984375e-05,0.0,9.5367431640625e-07,0.0015170574188232422
294,4.1961669921875e-05,0.0,1.9073486328125e-06,0.0013010501861572266
295,3.814697265625e-05,9.5367431640625e-07,1.1920928955078125e-06,0.0015292167663574219
296,4.076957702636719e-05,9.5367431640625e-07,1.1920928955078125e-06,0.0015139579772949219
297,4.029273986816406e-05,9.5367431640625e-07,9.5367431640625e-07,0.001508951187133789
298,3.790855407714844e-05,0.0,1.1920928955078125e-06,0.0014050006866455078
299,4.887580871582031e-05,9.5367431640625e-07,1.9073486328125e-06,0.0015490055084228516
300,4.291534423828125e-05,1.9073486328125e-06,9.5367431640625e-07,0.0014901161193847656
301,4.291534423828125e-05,1.1920928955078125e-06,2.1457672119140625e-06,0.0014371871948242188
302,3.886222839355469e-05,0.0,2.1457672119140625e-06,0.0015411376953125
303,3.910064697265625e-05,1.1920928955078125e-06,2.1457672119140625e-06,0.0014090538024902344
304,3.910064697265625e-05,0.0,9.5367431640625e-07,0.0015091896057128906
305,4.100799560546875e-05,1.1920928955078125e-06,9.5367431640625e-07,0.0015079975128173828
306,3.981590270996094e-05,0.0,2.1457672119140625e-06,0.0016520023345947266
307,4.506111145019531e-05,9.5367431640625e-07,1.9073486328125e-06,0.0016329288482666016
308,4.410743713378906e-05,9.5367431640625e-07,1.6689300537109375e-06,0.0015840530395507812
309,3.814697265625e-05,9.5367431640625e-07,9.5367431640625e-07,0.001497030258178711
310,3.719329833984375e-05,0.0,1.9073486328125e-06,0.0016429424285888672
311,3.5762786865234375e-05,0.0,1.1920928955078125e-06,0.0014369487762451172
312,4.100799560546875e-05,9.5367431640625e-07,2.86102294921875e-06,0.001486063003540039
313,4.291534423828125e-05,9.5367431640625e-07,1.1920928955078125e-06,0.0013210773468017578
314,4.124641418457031e-05,1.1920928955078125e-06,1.1920928955078125e-06,0.0011980533599853516
315,3.719329833984375e-05,0.0,1.6689300537109375e-06,0.0010142326354980469
316,3.886222839355469e-05,9.5367431640625e-07,9.5367431640625e-07,0.001049041748046875
317,4.076957702636719e-05,9.5367431640625e-07,1.9073486328125e-06,0.0009889602661132812
318,3.600120544433594e-05,0.0,1.9073486328125e-06,0.0012090206146240234
319,4.410743713378906e-05,9.5367431640625e-07,1.9073486328125e-06,0.0012402534484863281
320,3.790855407714844e-05,9.5367431640625e-07,9.5367431640625e-07,0.0012249946594238281
321,3.600120544433594e-05,1.1920928955078125e-06,2.1457672119140625e-06,0.001177072525024414
